day,post,title,text,image_file,note
6,1,Action points,"Combat: you get action points each turn. Abilities cost points. A basic attack is free.

Spend, then end your turn. Enemies act. Repeat.

Simple rules, a lot of room inside them.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_06\post_1.png,A combat clip beats the lineup if you have one.
6,2,Intents,"Enemies tell you what they're about to do.

The chip above each health bar shows it: red for an attack (with rough damage), purple for a spell, green for a heal, amber for a status.

Stun, root or silence them and the chip greys out. That move is cancelled.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_06\post_2.png,
6,3,Detonations,"Set up, then detonate.

Put a burn, a bleed, a chill on something - then hit it with a detonator like Snipe or Arcane Burst and the status goes off.

Rift detonates every enemy it touches. That's the cascade turn.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_06\post_3.png,
7,1,Three dungeons,"Three dungeons.

The Ashen Vault - the dead who were left behind.
The Scorched Depths - a forge that never cooled.
The Tundra Tomb - pilgrims who were never let in.

Each has its own monsters, bosses, music and secrets.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_07\post_1.png,
7,2,Bosses,"At the bottom of each dungeon: something that should have stayed asleep.

Beat it and its kin might follow you home.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_07\post_2.png,
7,3,Awakening tiers,"Every dungeon has five Awakening tiers.

Higher tiers: tougher enemies, bigger packs, bosses that enrage - and better, rarer loot.

Start at A0. Work up. Post-game there's an endless Descent for the people who clear all of it.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_07\post_3.png,
8,1,The camp,"Between runs you're at camp.

Petra sells supplies. Dorn forges. Vex trains you. Maren works runes. Sable brews. Vael changes how you look. Bairc keeps your creatures.

Every one of them remembers what you've done for them.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_08\post_1.png,
8,2,Bonds with the camp,"Help the camp and the camp helps back.

Gifts and favors deepen your bond with each person. Rank up their stations and they open new services - better stock, cheaper training, new crafts.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_08\post_2.png,
8,3,The tavern board,"The tavern board is where the townsfolk ask for things.

Hunts, errands, favors. Pick up a posting before a run and there's a little extra waiting when you get back.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_08\post_3.png,A board screenshot beats the NPC card if you have one.
9,1,Pattern Book,"Crafting in Ironwake starts with breaking things.

Smelt gear at Dorn's and you learn its pattern. Study enough patterns and you can craft that affix yourself - uncommon, then rare, then epic.

The Pattern Book keeps track.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_09\post_1.png,A Pattern Book screenshot beats this if you have one.
9,2,Runes,"Maren sockets runes.

Gear runes add stats. Aspect runes change how you fight - more crit, more dodge, fire on every spell. Three tiers, and the top tier can only be crafted.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_09\post_2.png,
9,3,Temper + reforge,"Don't like a roll? Dorn rerolls it.

Reforge reworks an item's affixes for an ingot. Tempering raises its quality step by step. Your favorite sword can stay your favorite sword.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_09\post_3.png,
10,1,The Ashen Duelist,"Not everything down there wants to kill you.

The Ashen Duelist wants a fair fight. Beat him and he comes back stronger next time, with new tricks and scars to match. Keep winning and he starts parting with relics.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_10\post_1.png,
10,2,Merchant's Ghost,"Sometimes a ghost sets up shop between rooms.

He sells things nobody else has. He does not haggle. He has been dead a while and is in no hurry.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_10\post_2.png,
10,3,Banshee in a Bottle,"Every dungeon's final boss guards a Banshee in a Bottle.

Carry it home, let Maren release it, and the spirit leaves a song behind - a new track for your camp or dungeon music.

There are more songs than you think.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_10\post_3.png,
11,1,Corruption,"Some creatures come back corrupted.

It pushes at them - and at you, while it's carried. Each run it gets worse. Cure it at Bairc's, or let it run its course and see what it becomes.

Your call. It's always your call.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_11\post_1.png,
11,2,Capstones,"Raise a creature to adulthood and it chooses a capstone - a permanent gift.

Cheaper boons. Harder hits. A shield when you need it most. Found creatures roll theirs on the spot; raised ones let you pick.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_11\post_2.png,
11,3,Awakened,"The fourth stage: Awakened.

It takes a deep bond and a long road. The creature crosses over, keeps everything it was, and gains an aura that changes the fight around it.

Worth the road.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_11\post_3.png,
12,1,Also on Android,"Ironwake is on Android too - the full game, not a cut-down one.

Built for touch from the start: tap to target, an on-screen d-pad, pinch to zoom the UI.

https://play.google.com/store/apps/details?id=com.seahorsegames.ironwake",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_12\post_1.png,A phone screenshot beats this if you have one.
12,2,"Same save, any way you play","Keyboard, mouse, controller or touch - every screen works with all of them.

Play how you like. We tested it on a phone with fat thumbs.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_12\post_2.png,
13,1,Iron Vow,"For the people who want it to hurt:

Iron Vow - one life. Ironman saves - quitting is a checkpoint, not an escape. And the Descent: an endless fall past the last Awakening tier.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_13\post_1.png,
13,2,Achievements,"67 Steam achievements, and none of them are ""press start"".

Hatch every scion. Win a duel at every tier. Free every banshee. See what the dungeon does when you stop being afraid of it.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_13\post_2.png,
14,1,Show us your creatures,"Show us your creatures.

Screenshot your favorite - name, stage, what it does for you - and reply here. We'll share the best ones.

(We have opinions about the Pyre Bison.)",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_14\post_1.png,
14,2,Patch cadence,"Week one is done. Here's how updates work:

Small fixes ship as we find them. Bigger things - the garden overhaul, more creatures, new songs - come in named updates with notes.

Tell us what you want first.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_14\post_2.png,
14,3,Thanks,"One week since launch.

Thank you. Every review, every bug report, every screenshot of a Bonehound wearing a name it didn't ask for - it all helps.

https://store.steampowered.com/app/4954740/Ironwake/",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_14\post_3.png,
